True Cost 	Penalty 	Adjusted Cost
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.297797E-01	0.000000E+00	-9.297797E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.300931E-01	0.000000E+00	-9.300931E-01
-9.301924E-01	0.000000E+00	-9.301924E-01
-9.302274E-01	0.000000E+00	-9.302274E-01
-9.302403E-01	0.000000E+00	-9.302403E-01
-9.302452E-01	0.000000E+00	-9.302452E-01
-9.302470E-01	0.000000E+00	-9.302470E-01
-9.302477E-01	0.000000E+00	-9.302477E-01
-9.302480E-01	0.000000E+00	-9.302480E-01
-9.302481E-01	0.000000E+00	-9.302481E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.297797E-01	0.000000E+00	-9.297797E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.300931E-01	0.000000E+00	-9.300931E-01
-9.301924E-01	0.000000E+00	-9.301924E-01
-9.302274E-01	0.000000E+00	-9.302274E-01
-9.302403E-01	0.000000E+00	-9.302403E-01
-9.302452E-01	0.000000E+00	-9.302452E-01
-9.302470E-01	0.000000E+00	-9.302470E-01
-9.302477E-01	0.000000E+00	-9.302477E-01
-9.302480E-01	0.000000E+00	-9.302480E-01
-9.302481E-01	0.000000E+00	-9.302481E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
-9.302482E-01	0.000000E+00	-9.302482E-01
